Township,Area_Raw,Area_Clean,Area_Key,State,State_Clean,Tenure,Type,Type_Clean,Primary_Type,Category,Median_Price,Median_PSF,Transactions
SCIENTEX SUNGAI DUA,Tasek Gelugor,TASEK GELUGOR,PENANG | TASEK GELUGOR,Penang,PENANG,Freehold,Terrace House,Terrace House,Terrace House,Landed,331800.0,304.0,593
BANDAR PUTRA,Kulai,KULAI,JOHOR | KULAI,Johor,JOHOR,Freehold,"Cluster House, Terrace House","Cluster House, Terrace House",Cluster House,Landed,590900.0,322.0,519
TAMAN LAGENDA TROPIKA TAPAH,Chenderiang,CHENDERIANG,PERAK | CHENDERIANG,Perak,PERAK,Freehold,Terrace House,Terrace House,Terrace House,Landed,229954.0,130.0,414
SCIENTEX JASIN MUTIARA,Bemban,BEMBAN,MELAKA | BEMBAN,Melaka,MELAKA,Freehold,Terrace House,Terrace House,Terrace House,Landed,255600.0,218.0,391
TAMAN LAGENDA AMAN,Tapah,TAPAH,PERAK | TAPAH,Perak,PERAK,Leasehold,Terrace House,Terrace House,Terrace House,Landed,219300.0,168.0,363
TAMAN IMPIAN EMAS,Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,738000.0,328.0,349
TAMAN KOTA MASAI,Pasir Gudang,PASIR GUDANG,JOHOR | PASIR GUDANG,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,345000.0,323.0,319
TAMAN LAGENDA TELUK INTAN,Teluk Intan,TELUK INTAN,PERAK | TELUK INTAN,Perak,PERAK,Leasehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,236594.0,126.0,309
BANDAR SCIENTEX JASIN,Jasin,JASIN,MELAKA | JASIN,Melaka,MELAKA,Freehold,Terrace House,Terrace House,Terrace House,Landed,180000.0,188.0,301
BANDAR BUKIT RAJA,Kapar,KAPAR,SELANGOR | KAPAR,Selangor,SELANGOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,793888.0,496.0,292
TAMAN IMPIANA KESANG,Bemban,BEMBAN,MELAKA | BEMBAN,Melaka,MELAKA,Leasehold,Terrace House,Terrace House,Terrace House,Landed,128730.0,92.0,288
TAMAN BUKIT INDAH,Iskandar Puteri (Nusajaya),ISKANDAR PUTERI (NUSAJAYA),JOHOR | ISKANDAR PUTERI (NUSAJAYA),Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,695000.0,425.0,259
TAMAN NUSA SERI CENGAL 2 & 3,Nilai,NILAI,NEGERI SEMBILAN | NILAI,Negeri Sembilan,NEGERI SEMBILAN,Leasehold,Terrace House,Terrace House,Terrace House,Landed,359000.0,194.0,210
BANDAR DATO' ONN,Tebrau,TEBRAU,JOHOR | TEBRAU,Johor,JOHOR,Freehold,"Terrace House, Semi D","Semi D, Terrace House",Semi D,Landed,750000.0,450.0,203
TAMAN UNIVERSITI,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,394000.0,307.0,202
TAMAN JOHOR JAYA,Johor Bahru,JOHOR BAHRU,JOHOR | JOHOR BAHRU,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,450000.0,326.0,195
TAMAN PUTERA INDAH,Batu Pahat,BATU PAHAT,JOHOR | BATU PAHAT,Johor,JOHOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,400000.0,214.0,193
TAMAN KIRANA,Kluang,KLUANG,JOHOR | KLUANG,Johor,JOHOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,170800.0,125.0,188
TAMAN BESTARI INDAH,Ulu Tiram,ULU TIRAM,JOHOR | ULU TIRAM,Johor,JOHOR,Freehold,Terrace House,Terrace House,Terrace House,Landed,832000.0,471.0,184
TAMAN MUTIARA RINI,Skudai,SKUDAI,JOHOR | SKUDAI,Johor,JOHOR,Leasehold,Terrace House,Terrace House,Terrace House,Landed,672000.0,396.0,183
TAMAN BUKIT PERDANA,Kluang,KLUANG,JOHOR | KLUANG,Johor,JOHOR,Freehold,Cluster House,Cluster House,Cluster House,Landed,343400.0,140.0,181
TAMAN SCIENTEX,Pasir Gudang,PASIR GUDANG,JOHOR | PASIR GUDANG,Johor,JOHOR,Freehold,"Terrace House, Cluster House","Cluster House, Terrace House",Cluster House,Landed,380000.0,387.0,177
